,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
352,352,Riyadh,24.6877,46.7219,78.8,24,75,2.3,SA,1613224830,voco Riyadh
356,356,Kiunga,-6.1219,141.2906,75.16,95,89,1.79,PG,1613224943,Cassowary Hotel
363,363,Cabedelo,-6.9811,-34.8339,77.0,100,90,2.3,BR,1613224707,Hotel Almagre
372,372,Nobres,-14.7203,-56.3275,74.5,89,100,6.98,BR,1613224944,Pirâmide Palace Hotel
377,377,San Cristobal,7.7669,-72.225,77.0,83,40,2.3,VE,1613224944,Lidotel Hotel Boutique San Cristobal
379,379,Jalu,29.0331,21.5482,70.66,23,0,1.16,LY,1613224945,Jalu Hotel
381,381,São Miguel do Araguaia,-13.275,-50.1628,79.61,83,94,4.05,BR,1613224945,Hotel Veredas do Araguaia
385,385,Kota,25.1833,75.8333,73.45,23,0,6.22,IN,1613224945,WelcomHeritage Umed Bhawan Palace
388,388,Quirinópolis,-18.4483,-50.4517,79.83,68,100,7.16,BR,1613224945,Hotel Brasil Palace
389,389,Lagunas,-5.2269,-75.6753,73.69,98,100,3.2,PE,1613224945,Hostal Paraiso Verde
400,400,Maningrida,-12.0667,134.2667,79.72,86,95,8.37,AU,1613224946,Dhukurrdji Lodge
405,405,Charagua,-19.8,-63.2167,68.0,94,75,5.26,BO,1613224946,Residencial Luismar
407,407,Kampong Chhnang,12.1667,104.55,75.72,38,4,4.38,KH,1613224946,
424,424,Lata,40.1629,-8.3327,69.01,58,1,2.42,PT,1613224947,
426,426,Umluj,25.0213,37.2685,77.52,61,0,9.57,SA,1613224911,HP Red Sea Hotel
429,429,Guiratinga,-16.3494,-53.7583,79.75,69,100,9.51,BR,1613224947,Hotel Angra do Cerrado - Guiratinga MT
433,433,Labuhan,-6.8844,112.2051,78.71,84,100,8.03,ID,1613224948,
442,442,Doha,25.2867,51.5333,73.0,60,0,10.36,QA,1613224724,Millennium Central Hotel Doha
446,446,Tiarei,-17.5333,-149.3333,78.8,69,75,3.44,PF,1613224948,Le Rocher de Tahiti
447,447,Alta Floresta,-9.8756,-56.0861,78.8,89,40,8.05,BR,1613224793,Floresta Amazonica Hotel
448,448,Kabare,-2.4683,28.8242,73.94,67,70,6.24,CD,1613224948,Elizabeth Hotel Bukavu
449,449,Esmeraldas,-19.7625,-44.3139,77.0,69,40,5.75,BR,1613224949,Parque do Avestruz Hotel Fazenda
451,451,Praia,14.9215,-23.5087,77.0,57,20,25.32,CV,1613224949,Hotel Oasis Atlantico Praiamar
